contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
A130720C00028000,A,7/20/2013,call,28,A,13.2,,15.4,,0,0,6/28/2013,1,0,-0.0766,0,0.3259
A130720P00028000,A,7/20/2013,put,28,A,0,,0.03,,0,15,6/28/2013,0,0,-0.0036,0.001,0.4344
A130720C00029000,A,7/20/2013,call,29,A,13.7,,14.3,,0,0,6/28/2013,1,0,-0.0794,0,0.3259
A130720P00029000,A,7/20/2013,put,29,A,0,,0.03,,0,0,6/28/2013,-0.0001,0.0001,-0.0135,0.0036,0.4344
A130720C00030000,A,7/20/2013,call,30,A,12.35,,13.4,,0,0,6/28/2013,1,0,-0.0825,0.0001,0.3259
A130720P00030000,A,7/20/2013,put,30,A,0,,0.04,,0,0,6/28/2013,-0.0003,0.0002,-0.0429,0.0115,0.4344
A130720C00031000,A,7/20/2013,call,31,A,11.5,,13.05,,0,0,6/28/2013,1,0,-0.0872,0.0008,0.3259
A130720P00031000,A,7/20/2013,put,31,A,0,,0.05,,0,0,6/28/2013,-0.0009,0.0007,-0.1191,0.032,0.4344
A130720C00032000,A,7/20/2013,call,32,A,10.5,,11.05,,0,0,6/28/2013,0.9999,0.0001,-0.0989,0.0041,0.3259
A130720P00032000,A,7/20/2013,put,32,A,0.01,,0.06,,0,0,6/28/2013,-0.0024,0.0017,-0.292,0.0786,0.4344
A130720C00033000,A,7/20/2013,call,33,A,9.7,,10.4,,0,0,6/28/2013,0.9996,0.0005,-0.1352,0.0161,0.3259
A130720P00033000,A,7/20/2013,put,33,A,0,,0.07,,0,0,6/28/2013,-0.0058,0.0037,-0.6379,0.1718,0.4344
A130720C00034000,A,7/20/2013,call,34,A,8.75,,8.9,,0,0,6/28/2013,0.9984,0.0015,-0.2406,0.053,0.3259
A130720P00034000,A,7/20/2013,put,34,A,0.01,,0.07,,0,0,6/28/2013,-0.0126,0.0073,-1.2542,0.3379,0.4344
A130720C00035000,A,7/20/2013,call,35,A,7.75,,7.85,,10,0,6/28/2013,0.9951,0.0042,-0.5042,0.1467,0.3259
A130720P00035000,A,7/20/2013,put,35,A,0.02,,0.08,,0,3,6/28/2013,-0.0249,0.013,-2.2383,0.6031,0.4344
A130720C00036000,A,7/20/2013,call,36,A,6.8,,6.9,,0,0,6/28/2013,0.987,0.01,-1.0632,0.3466,0.3259
A130720P00036000,A,7/20/2013,put,36,A,0.03,,0.08,,0,20,6/28/2013,-0.0314,0.0174,-2.453,0.7308,0.393
A130720C00037000,A,7/20/2013,call,37,A,5.75,,6.45,,0,0,6/28/2013,0.9698,0.0203,-2.0698,0.7074,0.3259
A130720P00037000,A,7/20/2013,put,37,A,0.06,,0.09,,0,19,6/28/2013,-0.0461,0.0256,-3.1147,0.9985,0.3653
A130720C00038000,A,7/20/2013,call,38,A,4.8,,5.45,,0,0,6/28/2013,0.9381,0.0362,-3.6129,1.2613,0.3259
A130720P00038000,A,7/20/2013,put,38,A,0.08,,0.11,,0,272,6/28/2013,-0.0625,0.0364,-3.5474,1.2708,0.327
A130720C00039000,A,7/20/2013,call,39,A,3.85,,4.1,,0,0,6/28/2013,0.8868,0.057,-5.6251,1.9843,0.3259
A130720P00039000,A,7/20/2013,put,39,A,0.13,,0.16,,0,266,6/28/2013,-0.0961,0.0548,-4.5258,1.7627,0.3009
A130720C00040000,A,7/20/2013,call,40,A,2.97,,3.1,,10,0,6/28/2013,0.8378,0.0816,-6.4088,2.5375,0.2911
A130720P00040000,A,7/20/2013,put,40,A,0.22,,0.24,,45,2277,6/28/2013,-0.1507,0.0818,-5.6975,2.4164,0.2765
A130720C00041000,A,7/20/2013,call,41,A,2.12,,2.19,,3,32,6/28/2013,0.7599,0.1163,-7.1935,3.2141,0.2586
A130720P00041000,A,7/20/2013,put,41,A,0.36,,0.39,,3,1140,6/28/2013,-0.2364,0.1175,-6.8935,3.1869,0.2539
A130720C00042000,A,7/20/2013,call,42,A,1.39,,1.44,,5,162,6/28/2013,0.633,0.1512,-8.0925,3.8928,0.2409
A130720P00042000,A,7/20/2013,put,42,A,0.62,,0.65,,29,2448,6/28/2013,-0.3655,0.1532,-7.8537,3.8874,0.2375
A130720C00043000,A,7/20/2013,call,43,A,0.81,,0.85,,2,526,6/28/2013,0.4716,0.169,-8.0695,4.1137,0.2278
A130720P00043000,A,7/20/2013,put,43,A,1.03,,1.07,,82,3060,6/28/2013,-0.5291,0.1714,-7.8381,4.1131,0.2246
A130720C00044000,A,7/20/2013,call,44,A,0.42,,0.45,,25,531,6/28/2013,0.3066,0.1537,-6.8931,3.6293,0.2209
A130720P00044000,A,7/20/2013,put,44,A,1.62,,1.68,,36,400,6/28/2013,-0.698,0.1563,-6.5687,3.6049,0.2158
A130720C00045000,A,7/20/2013,call,45,A,0.19,,0.22,,10,437,6/28/2013,0.1734,0.1139,-4.9582,2.6505,0.2178
A130720P00045000,A,7/20/2013,put,45,A,2.39,,2.46,,42,432,6/28/2013,-0.8327,0.114,-4.6019,2.5886,0.2125
A130720C00046000,A,7/20/2013,call,46,A,0.08,,0.11,,10,528,6/28/2013,0.0913,0.0716,-3.2278,1.6964,0.2217
A130720P00046000,A,7/20/2013,put,46,A,3.25,,3.35,,18,490,6/28/2013,-0.9356,0.0623,-2.0559,1.3008,0.1954
A130720C00047000,A,7/20/2013,call,47,A,0.03,,0.07,,1,420,6/28/2013,0.0492,0.0424,-2.0977,1.0528,0.2323
A130720P00047000,A,7/20/2013,put,47,A,3.7,,4.35,,0,148,6/28/2013,-0.9758,0.0281,-0.8559,0.5873,0.1954
A130720C00048000,A,7/20/2013,call,48,A,0.02,,0.05,,1,435,6/28/2013,0.0328,0.0278,-1.654,0.7564,0.255
A130720P00048000,A,7/20/2013,put,48,A,4.65,,5.3,,0,142,6/28/2013,-0.9922,0.0106,-0.2383,0.2206,0.1954
A130720C00049000,A,7/20/2013,call,49,A,0.02,,0.04,,0,284,6/28/2013,0.0266,0.0208,-1.5603,0.6365,0.2859
A130720P00049000,A,7/20/2013,put,49,A,5.65,,6.3,,0,10,6/28/2013,-0.9979,0.0033,0.0173,0.0697,0.1954
A130720C00050000,A,7/20/2013,call,50,A,0,,0.03,,0,194,6/28/2013,0.013,0.0112,-0.8497,0.3467,0.2859
A130720P00050000,A,7/20/2013,put,50,A,6.65,,7.35,,0,10,6/28/2013,-0.9995,0.0009,0.1054,0.0188,0.1954
A130720C00052500,A,7/20/2013,call,52.5,A,0,,0.03,,0,68,6/28/2013,0.0017,0.0018,-0.1377,0.0562,0.2859
A130720P00052500,A,7/20/2013,put,52.5,A,8.15,,11.35,,0,0,6/28/2013,-1,0,0.1429,0.0004,0.1954
A130720C00055000,A,7/20/2013,call,55,A,0,,0.03,,0,10,6/28/2013,0.0002,0.0002,-0.0153,0.0062,0.2859
A130720P00055000,A,7/20/2013,put,55,A,10.65,,12.5,,0,0,6/28/2013,-1,0,0.1505,0,0.1954
A130817C00021000,A,8/17/2013,call,21,A,20.25,,23.45,,0,0,6/28/2013,1,0,-0.058,0.0004,0.4456
A130817P00021000,A,8/17/2013,put,21,A,0,,0.03,,0,41,6/28/2013,0,0,-0.0008,0.0005,0.4542
A130817C00022000,A,8/17/2013,call,22,A,19.15,,22.9,,0,0,6/28/2013,1,0,-0.0621,0.0011,0.4456
A130817P00022000,A,8/17/2013,put,22,A,0,,0.03,,0,10,6/28/2013,0,0,-0.0027,0.0016,0.4542
A130817C00023000,A,8/17/2013,call,23,A,18.15,,21.4,,0,0,6/28/2013,0.9999,0,-0.0687,0.0035,0.4456
A130817P00023000,A,8/17/2013,put,23,A,0,,0.04,,0,0,6/28/2013,-0.0001,0,-0.0077,0.0046,0.4542
A130817C00024000,A,8/17/2013,call,24,A,17.15,,20.6,,0,0,6/28/2013,0.9998,0.0001,-0.081,0.0092,0.4456
A130817P00024000,A,8/17/2013,put,24,A,0,,0.04,,0,0,6/28/2013,-0.0002,0.0001,-0.0197,0.0117,0.4542
A130817C00025000,A,8/17/2013,call,25,A,16.1,,18.4,,0,0,6/28/2013,0.9996,0.0002,-0.1048,0.0221,0.4456
A130817P00025000,A,8/17/2013,put,25,A,0.01,,0.05,,0,285,6/28/2013,-0.0005,0.0002,-0.0455,0.0271,0.4542
A130817C00026000,A,8/17/2013,call,26,A,15.05,,17.45,,0,0,6/28/2013,0.9991,0.0004,-0.1503,0.048,0.4456
A130817P00026000,A,8/17/2013,put,26,A,0.01,,0.06,,0,263,6/28/2013,-0.0011,0.0005,-0.096,0.0572,0.4542
A130817C00027000,A,8/17/2013,call,27,A,14.3,,16.45,,0,0,6/28/2013,0.9981,0.0009,-0.2321,0.0961,0.4456
A130817P00027000,A,8/17/2013,put,27,A,0,,0.08,,0,248,6/28/2013,-0.0023,0.001,-0.187,0.1114,0.4542
A130817C00028000,A,8/17/2013,call,28,A,13.35,,15.45,,0,0,6/28/2013,0.9962,0.0016,-0.3699,0.1782,0.4456
A130817P00028000,A,8/17/2013,put,28,A,0.01,,0.08,,0,289,6/28/2013,-0.0044,0.0018,-0.3388,0.202,0.4542
A130817C00029000,A,8/17/2013,call,29,A,12.35,,14.5,,0,0,6/28/2013,0.9929,0.0028,-0.5869,0.3084,0.4456
A130817P00029000,A,8/17/2013,put,29,A,0.01,,0.08,,0,213,6/28/2013,-0.008,0.0031,-0.5749,0.3427,0.4542
A130817C00030000,A,8/17/2013,call,30,A,12.75,,13.45,,0,0,6/28/2013,0.9877,0.0046,-0.9076,0.5017,0.4456
A130817P00030000,A,8/17/2013,put,30,A,0.02,,0.08,,0,225,6/28/2013,-0.0136,0.0049,-0.9187,0.5477,0.4542
A130817C00031000,A,8/17/2013,call,31,A,11.3,,12.45,,0,0,6/28/2013,0.9797,0.007,-1.3535,0.7711,0.4456
A130817P00031000,A,8/17/2013,put,31,A,0.03,,0.11,,0,185,6/28/2013,-0.0222,0.0074,-1.3901,0.829,0.4542
A130817C00032000,A,8/17/2013,call,32,A,10.75,,11.15,,0,19,6/28/2013,0.9681,0.0102,-1.9387,1.1254,0.4456
A130817P00032000,A,8/17/2013,put,32,A,0.06,,0.14,,0,296,6/28/2013,-0.0325,0.0103,-1.8908,1.1436,0.4479
A130817C00033000,A,8/17/2013,call,33,A,9.8,,10.15,,0,6,6/28/2013,0.9521,0.0142,-2.666,1.5662,0.4456
A130817P00033000,A,8/17/2013,put,33,A,0.08,,0.17,,0,378,6/28/2013,-0.0417,0.0133,-2.2061,1.4001,0.4269
A130817C00034000,A,8/17/2013,call,34,A,8.85,,9,,7,0,6/28/2013,0.9488,0.0167,-2.5335,1.652,0.4004
A130817P00034000,A,8/17/2013,put,34,A,0.11,,0.2,,0,585,6/28/2013,-0.0532,0.017,-2.5478,1.7028,0.4055
A130817C00035000,A,8/17/2013,call,35,A,7.9,,8.05,,10,3,6/28/2013,0.9311,0.0219,-3.0686,2.0863,0.3862
A130817P00035000,A,8/17/2013,put,35,A,0.16,,0.21,,0,4285,6/28/2013,-0.0664,0.0214,-2.8468,2.0267,0.3808
A130817C00036000,A,8/17/2013,call,36,A,6.95,,7.6,,0,5,6/28/2013,0.8754,0.0299,-5.3091,3.2285,0.4376
A130817P00036000,A,8/17/2013,put,36,A,0.24,,0.26,,0,2763,6/28/2013,-0.0888,0.0279,-3.415,2.5283,0.3663
A130817C00037000,A,8/17/2013,call,37,A,6.05,,6.35,,0,39,6/28/2013,0.8681,0.0361,-4.7595,3.3582,0.3763
A130817P00037000,A,8/17/2013,put,37,A,0.31,,0.34,,0,651,6/28/2013,-0.1153,0.0356,-3.9158,3.0564,0.3476
A130817C00038000,A,8/17/2013,call,38,A,5.15,,5.3,,0,51,6/28/2013,0.846,0.0449,-4.7228,3.7293,0.3362
A130817P00038000,A,8/17/2013,put,38,A,0.42,,0.45,,0,693,6/28/2013,-0.1515,0.0449,-4.5188,3.6903,0.3323
A130817C00039000,A,8/17/2013,call,39,A,4.3,,4.45,,0,117,6/28/2013,0.7994,0.0554,-5.3346,4.4086,0.3221
A130817P00039000,A,8/17/2013,put,39,A,0.57,,0.6,,0,828,6/28/2013,-0.1983,0.0556,-5.1339,4.3783,0.3185
A130817C00040000,A,8/17/2013,call,40,A,3.55,,3.65,,0,2118,6/28/2013,0.7389,0.066,-5.9989,5.1098,0.3133
A130817P00040000,A,8/17/2013,put,40,A,0.77,,0.8,,0,6076,6/28/2013,-0.2566,0.0671,-5.6876,5.0644,0.3053
A130817C00041000,A,8/17/2013,call,41,A,2.82,,2.88,,0,158,6/28/2013,0.6707,0.0772,-6.3391,5.6881,0.2979
A130817P00041000,A,8/17/2013,put,41,A,1.03,,1.06,,0,5124,6/28/2013,-0.327,0.0785,-6.0944,5.6722,0.2924
A130817C00042000,A,8/17/2013,call,42,A,2.17,,2.22,,6,1997,6/28/2013,0.5896,0.0863,-6.544,6.1128,0.2866
A130817P00042000,A,8/17/2013,put,42,A,1.38,,1.42,,16,7904,6/28/2013,-0.4099,0.0873,-6.3548,6.1109,0.2834
A130817C00043000,A,8/17/2013,call,43,A,1.61,,1.66,,2,2778,6/28/2013,0.4999,0.0914,-6.4944,6.2714,0.2776
A130817P00043000,A,8/17/2013,put,43,A,1.83,,1.87,,10,1468,6/28/2013,-0.5003,0.0919,-6.3443,6.2714,0.2762
A130817C00044000,A,8/17/2013,call,44,A,1.16,,1.2,,65,2157,6/28/2013,0.4077,0.0911,-6.1628,6.103,0.271
A130817P00044000,A,8/17/2013,put,44,A,2.36,,2.42,,1,1176,6/28/2013,-0.5934,0.0918,-5.9888,6.0991,0.2688
A130817C00045000,A,8/17/2013,call,45,A,0.8,,0.84,,23,5021,6/28/2013,0.3187,0.0856,-5.5441,5.6132,0.2653
A130817P00045000,A,8/17/2013,put,45,A,2.98,,3.1,,0,1410,6/28/2013,-0.6816,0.0858,-5.4051,5.6098,0.2647
A130817C00046000,A,8/17/2013,call,46,A,0.54,,0.57,,10,1456,6/28/2013,0.2407,0.0754,-4.7832,4.8945,0.2627
A130817P00046000,A,8/17/2013,put,46,A,3.65,,3.85,,0,512,6/28/2013,-0.7662,0.0763,-4.4551,4.8174,0.2556
A130817C00047000,A,8/17/2013,call,47,A,0.35,,0.39,,0,2258,6/28/2013,0.1751,0.0629,-3.9303,4.0535,0.2607
A130817P00047000,A,8/17/2013,put,47,A,4.55,,4.65,,8,63,6/28/2013,-0.8234,0.0629,-3.846,4.0758,0.2623
A130817C00048000,A,8/17/2013,call,48,A,0.22,,0.25,,95,3412,6/28/2013,0.1222,0.0497,-3.0622,3.1854,0.2587
A130817P00048000,A,8/17/2013,put,48,A,5.25,,5.5,,0,78,6/28/2013,-0.9199,0.0436,-1.7554,2.3391,0.217
A130817C00049000,A,8/17/2013,call,49,A,0.14,,0.18,,0,954,6/28/2013,0.0871,0.0383,-2.4298,2.4912,0.2626
A130817P00049000,A,8/17/2013,put,49,A,6.2,,6.45,,0,0,6/28/2013,-0.9484,0.0304,-1.2315,1.6617,0.2212
A130817C00050000,A,8/17/2013,call,50,A,0.1,,0.14,,0,3580,6/28/2013,0.066,0.0299,-2.0417,2.0166,0.2727
A130817P00050000,A,8/17/2013,put,50,A,6.75,,7.4,,0,25,6/28/2013,-0.9698,0.0197,-0.7461,1.0748,0.2212
A130817C00052500,A,8/17/2013,call,52.5,A,0.05,,0.06,,0,291,6/28/2013,0.0318,0.0156,-1.2153,1.1222,0.2919
A130817P00052500,A,8/17/2013,put,52.5,A,9.15,,9.85,,0,7,6/28/2013,-0.9934,0.0053,-0.0953,0.2909,0.2212
A130817C00055000,A,8/17/2013,call,55,A,0,,0.04,,0,83,6/28/2013,0.0127,0.007,-0.5705,0.5153,0.2985
A130817P00055000,A,8/17/2013,put,55,A,11.6,,12.35,,0,0,6/28/2013,-0.9989,0.0011,0.1014,0.0598,0.2212
A130817C00060000,A,8/17/2013,call,60,A,0,,0.03,,0,3,6/28/2013,0.0011,0.0009,-0.0707,0.0639,0.2985
A130817P00060000,A,8/17/2013,put,60,A,14.8,,18.9,,0,0,6/28/2013,-1,0,0.1631,0.0013,0.2212
A130817C00065000,A,8/17/2013,call,65,A,0,,0.03,,0,0,6/28/2013,0.0001,0.0001,-0.006,0.0054,0.2985
A130817P00065000,A,8/17/2013,put,65,A,19.8,,23.9,,0,0,6/28/2013,-1,0,0.1778,0,0.2212
A131116C00022000,A,11/16/2013,call,22,A,19.4,,22.5,,0,0,6/28/2013,0.9953,0.0011,-0.2652,0.3627,0.436
A131116P00022000,A,11/16/2013,put,22,A,0.05,,0.12,,0,95,6/28/2013,-0.0144,0.0026,-0.6688,0.9709,0.5312
A131116C00023000,A,11/16/2013,call,23,A,18.35,,21.5,,0,0,6/28/2013,0.9925,0.0018,-0.3729,0.5485,0.436
A131116P00023000,A,11/16/2013,put,23,A,0.05,,0.12,,0,123,6/28/2013,-0.0153,0.0028,-0.6627,1.0237,0.4993
A131116C00024000,A,11/16/2013,call,24,A,17.4,,20.5,,0,0,6/28/2013,0.9886,0.0026,-0.5148,0.7945,0.436
A131116P00024000,A,11/16/2013,put,24,A,0.06,,0.13,,0,0,6/28/2013,-0.0179,0.0035,-0.7235,1.1671,0.4782
A131116C00025000,A,11/16/2013,call,25,A,16.4,,19.5,,0,0,6/28/2013,0.9832,0.0036,-0.6942,1.1076,0.436
A131116P00025000,A,11/16/2013,put,25,A,0.07,,0.14,,0,13,6/28/2013,-0.0206,0.0041,-0.7781,1.3154,0.4564
A131116C00026000,A,11/16/2013,call,26,A,16.75,,17.6,,0,0,6/28/2013,0.9761,0.0049,-0.9137,1.4916,0.436
A131116P00026000,A,11/16/2013,put,26,A,0.09,,0.16,,0,4,6/28/2013,-0.025,0.005,-0.8872,1.5519,0.4412
A131116C00027000,A,11/16/2013,call,27,A,14.45,,16.55,,0,0,6/28/2013,0.9671,0.0064,-1.1736,1.9473,0.436
A131116P00027000,A,11/16/2013,put,27,A,0.12,,0.19,,0,2,6/28/2013,-0.0312,0.0062,-1.0377,1.8647,0.4296
A131116C00028000,A,11/16/2013,call,28,A,14.8,,15.6,,0,0,6/28/2013,0.9559,0.0081,-1.4722,2.4716,0.436
A131116P00028000,A,11/16/2013,put,28,A,0.16,,0.23,,0,0,6/28/2013,-0.0391,0.0076,-1.2204,2.2447,0.4198
A131116C00029000,A,11/16/2013,call,29,A,13.85,,14.6,,0,0,6/28/2013,0.9413,0.0101,-1.8432,3.1025,0.4391
A131116P00029000,A,11/16/2013,put,29,A,0.2,,0.26,,0,12,6/28/2013,-0.0468,0.0091,-1.3603,2.595,0.4049
A131116C00030000,A,11/16/2013,call,30,A,12.9,,14.7,,0,0,6/28/2013,0.9195,0.0124,-2.4117,3.9589,0.4546
A131116P00030000,A,11/16/2013,put,30,A,0.24,,0.31,,0,145,6/28/2013,-0.0563,0.0109,-1.5222,3.0056,0.3913
A131116C00031000,A,11/16/2013,call,31,A,11.95,,13.15,,0,0,6/28/2013,0.9007,0.0145,-2.8079,4.6288,0.4546
A131116P00031000,A,11/16/2013,put,31,A,0.28,,0.35,,0,0,6/28/2013,-0.0659,0.0129,-1.6446,3.398,0.3741
A131116C00032000,A,11/16/2013,call,32,A,11,,12.2,,0,0,6/28/2013,0.8878,0.0166,-2.9283,5.0565,0.4343
A131116P00032000,A,11/16/2013,put,32,A,0.35,,0.42,,0,43,6/28/2013,-0.0801,0.0155,-1.8545,3.9472,0.3633
A131116C00033000,A,11/16/2013,call,33,A,10.1,,10.8,,0,0,6/28/2013,0.8873,0.0188,-2.6063,5.0721,0.3837
A131116P00033000,A,11/16/2013,put,33,A,0.42,,0.49,,0,1,6/28/2013,-0.0954,0.0183,-2.0307,4.4936,0.3496
A131116C00034000,A,11/16/2013,call,34,A,9.2,,9.85,,0,0,6/28/2013,0.8699,0.0218,-2.7546,5.6127,0.367
A131116P00034000,A,11/16/2013,put,34,A,0.52,,0.58,,0,0,6/28/2013,-0.1147,0.0216,-2.2457,5.1353,0.3385
A131116C00035000,A,11/16/2013,call,35,A,8.35,,8.95,,0,3,6/28/2013,0.8465,0.0251,-2.9853,6.2781,0.3564
A131116P00035000,A,11/16/2013,put,35,A,0.63,,0.7,,0,357,6/28/2013,-0.1374,0.0253,-2.4661,5.8267,0.3278
A131116C00036000,A,11/16/2013,call,36,A,7.5,,7.85,,0,0,6/28/2013,0.8296,0.0291,-2.9442,6.7199,0.3282
A131116P00036000,A,11/16/2013,put,36,A,0.77,,0.85,,0,22,6/28/2013,-0.1648,0.0294,-2.7026,6.5747,0.3186
A131116C00037000,A,11/16/2013,call,37,A,6.65,,7,,0,1,6/28/2013,0.8005,0.0334,-3.1132,7.4117,0.3152
A131116P00037000,A,11/16/2013,put,37,A,0.96,,1.03,,0,55,6/28/2013,-0.1972,0.0336,-2.9541,7.3608,0.3113
A131116C00038000,A,11/16/2013,call,38,A,5.9,,6.05,,0,31,6/28/2013,0.7685,0.0383,-3.219,8.0785,0.2994
A131116P00038000,A,11/16/2013,put,38,A,1.2,,1.25,,0,34,6/28/2013,-0.2347,0.0379,-3.2029,8.1419,0.3054
A131116C00039000,A,11/16/2013,call,39,A,5.15,,5.3,,0,0,6/28/2013,0.7274,0.0429,-3.4135,8.8085,0.2918
A131116P00039000,A,11/16/2013,put,39,A,1.46,,1.51,,0,15,6/28/2013,-0.2758,0.0422,-3.4054,8.8602,0.2987
A131116C00040000,A,11/16/2013,call,40,A,4.5,,4.6,,3,61,6/28/2013,0.6804,0.0468,-3.6151,9.4762,0.2879
A131116P00040000,A,11/16/2013,put,40,A,1.77,,1.82,,0,476,6/28/2013,-0.3213,0.0462,-3.5726,9.4972,0.2927
A131116C00041000,A,11/16/2013,call,41,A,3.8,,3.95,,0,112,6/28/2013,0.6314,0.0509,-3.6924,9.9987,0.2791
A131116P00041000,A,11/16/2013,put,41,A,2.12,,2.18,,198,10205,6/28/2013,-0.3702,0.0497,-3.684,10.0128,0.2867
A131116C00042000,A,11/16/2013,call,42,A,3.25,,3.35,,0,29,6/28/2013,0.5779,0.0536,-3.7717,10.3751,0.2752
A131116P00042000,A,11/16/2013,put,42,A,2.53,,2.59,,0,149,6/28/2013,-0.4223,0.0525,-3.7408,10.376,0.2814
A131116C00043000,A,11/16/2013,call,43,A,2.71,,2.78,,1,174,6/28/2013,0.5223,0.056,-3.7385,10.561,0.2683
A131116P00043000,A,11/16/2013,put,43,A,3,,3.1,,0,94,6/28/2013,-0.476,0.0539,-3.7627,10.5584,0.2787
A131116C00044000,A,11/16/2013,call,44,A,2.24,,2.32,,0,328,6/28/2013,0.4659,0.0566,-3.6789,10.5389,0.2649
A131116P00044000,A,11/16/2013,put,44,A,3.5,,3.6,,0,120,6/28/2013,-0.5314,0.0551,-3.6594,10.5446,0.2721
A131116C00045000,A,11/16/2013,call,45,A,1.83,,1.89,,40,278,6/28/2013,0.4096,0.0562,-3.5365,10.3048,0.2607
A131116P00045000,A,11/16/2013,put,45,A,4.1,,4.2,,0,97,6/28/2013,-0.5853,0.0545,-3.5479,10.3355,0.2698
A131116C00046000,A,11/16/2013,call,46,A,1.48,,1.54,,0,105,6/28/2013,0.3556,0.0545,-3.3501,9.8768,0.2579
A131116P00046000,A,11/16/2013,put,46,A,4.7,,4.85,,0,126,6/28/2013,-0.639,0.0533,-3.3352,9.9289,0.2651
A131116C00047000,A,11/16/2013,call,47,A,1.18,,1.24,,0,10038,6/28/2013,0.3043,0.0517,-3.1104,9.2782,0.2551
A131116P00047000,A,11/16/2013,put,47,A,5.4,,5.55,,0,1,6/28/2013,-0.6886,0.0507,-3.1102,9.3728,0.263
A131116C00048000,A,11/16/2013,call,48,A,0.93,,0.99,,0,151,6/28/2013,0.257,0.048,-2.8366,8.5482,0.2527
A131116P00048000,A,11/16/2013,put,48,A,6.15,,6.3,,0,112,6/28/2013,-0.7342,0.0473,-2.8536,8.6972,0.2614
A131116C00049000,A,11/16/2013,call,49,A,0.73,,0.78,,0,78,6/28/2013,0.2149,0.0438,-2.5542,7.745,0.2513
A131116P00049000,A,11/16/2013,put,49,A,6.95,,7.1,,0,10,6/28/2013,-0.7744,0.0434,-2.5951,7.9628,0.2612
A131116C00050000,A,11/16/2013,call,50,A,0.56,,0.62,,0,145,6/28/2013,0.177,0.0392,-2.2526,6.8835,0.2495
A131116P00050000,A,11/16/2013,put,50,A,7.75,,7.95,,0,76,6/28/2013,-0.8121,0.0392,-2.2962,7.1492,0.2595
A131116C00052500,A,11/16/2013,call,52.5,A,0.29,,0.35,,0,122,6/28/2013,0.1076,0.0279,-1.6069,4.9064,0.25
A131116P00052500,A,11/16/2013,put,52.5,A,9.55,,10.2,,0,0,6/28/2013,-0.904,0.0269,-1.2694,4.5156,0.2388
A131116C00055000,A,11/16/2013,call,55,A,0.15,,0.21,,0,245,6/28/2013,0.0646,0.0188,-1.112,3.3511,0.2535
A131116P00055000,A,11/16/2013,put,55,A,11.85,,12.6,,0,0,6/28/2013,-0.9481,0.0168,-0.727,2.8184,0.2378
A131116C00060000,A,11/16/2013,call,60,A,0.03,,0.09,,0,73,6/28/2013,0.0225,0.0077,-0.4858,1.4222,0.2612
A131116P00060000,A,11/16/2013,put,60,A,16.7,,17.5,,0,0,6/28/2013,-0.9867,0.0054,-0.1179,0.907,0.2378
A131116C00065000,A,11/16/2013,call,65,A,0,,0.05,,0,20,6/28/2013,0.0063,0.0025,-0.1597,0.468,0.2612
A131116P00065000,A,11/16/2013,put,65,A,21.55,,22.5,,0,0,6/28/2013,-0.9971,0.0014,0.1047,0.235,0.2378
A140118C00020000,A,1/18/2014,call,20,A,22.75,,23.45,,0,0,6/28/2013,0.9973,0.0007,-0.1479,0.2692,0.3875
A140118P00020000,A,1/18/2014,put,20,A,0.1,,0.15,,0,525,6/28/2013,-0.0176,0.0025,-0.6575,1.3765,0.5341
A140118C00022000,A,1/18/2014,call,22,A,20.8,,21.5,,0,3,6/28/2013,0.9928,0.0016,-0.2807,0.6368,0.3875
A140118P00022000,A,1/18/2014,put,22,A,0.13,,0.17,,3,5,6/28/2013,-0.0225,0.0034,-0.7466,1.7055,0.4897
A140118C00023000,A,1/18/2014,call,23,A,19.8,,20.5,,0,0,6/28/2013,0.9891,0.0023,-0.3804,0.9167,0.3875
A140118P00023000,A,1/18/2014,put,23,A,0.15,,0.19,,0,61,6/28/2013,-0.0261,0.004,-0.8142,1.9316,0.4716
A140118C00024000,A,1/18/2014,call,24,A,18.85,,19.55,,0,0,6/28/2013,0.9841,0.0032,-0.5057,1.2709,0.3875
A140118P00024000,A,1/18/2014,put,24,A,0.16,,0.22,,0,0,6/28/2013,-0.0298,0.0047,-0.8736,2.1607,0.4525
A140118C00025000,A,1/18/2014,call,25,A,17.85,,18.55,,0,36,6/28/2013,0.9776,0.0043,-0.6579,1.7037,0.3875
A140118P00025000,A,1/18/2014,put,25,A,0.21,,0.26,,0,211,6/28/2013,-0.0366,0.0057,-1.0142,2.5597,0.4436
A140118C00026000,A,1/18/2014,call,26,A,16.9,,17.55,,0,0,6/28/2013,0.9693,0.0056,-0.8377,2.2158,0.3875
A140118P00026000,A,1/18/2014,put,26,A,0.24,,0.3,,0,0,6/28/2013,-0.0427,0.0066,-1.1094,2.8994,0.4285
A140118C00027000,A,1/18/2014,call,27,A,15.95,,16.6,,0,0,6/28/2013,0.959,0.0071,-1.0437,2.8041,0.3875
A140118P00027000,A,1/18/2014,put,27,A,0.29,,0.34,,0,0,6/28/2013,-0.0502,0.0078,-1.2255,3.3042,0.4155
A140118C00028000,A,1/18/2014,call,28,A,14.9,,15.45,,0,9,6/28/2013,0.9467,0.0088,-1.2736,3.4623,0.3875
A140118P00028000,A,1/18/2014,put,28,A,0.35,,0.4,,0,120,6/28/2013,-0.0597,0.0092,-1.3675,3.7859,0.4048
